src_ip,dst_ip,protocol,time_bin,start_time,end_time,packet_count,total_bytes,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,duration_s,packets_per_s,bytes_per_s
108.138.233.68,192.168.68.114,17,29512426,1770745597.296305,1770745597.46459,345,499233,1447.0521739130436,182.91765732972004,91,1500,0.16828513145446777,2050.0919898163747,2966590.070585502
108.138.233.68,192.168.68.114,17,29512427,1770745644.236582,1770745649.915026,453,656926,1450.167770419426,227.23886719543754,91,1500,5.678443908691406,79.77537636792358,115687.6796818423
108.138.233.93,192.168.68.114,17,29512428,1770745689.037963,1770745729.888658,9453,13999748,1480.9846609541944,142.95834987346504,91,1500,40.85069513320923,231.40365100703667,342705.2576302189
108.156.46.60,192.168.68.114,6,29512414,1770744848.052973,1770744894.517525,14,8258,589.8571428571429,656.9006314203386,72,1500,46.46455192565918,0.30130496087424363,177.72688334996457
108.156.46.60,192.168.68.114,6,29512415,1770744939.601838,1770744939.601838,1,72,72.0,0.0,72,72,0.0,1.0,72.0
108.156.46.60,192.168.68.114,6,29512416,1770744984.628761,1770744984.628761,1,72,72.0,0.0,72,72,0.0,1.0,72.0
108.156.46.60,192.168.68.114,6,29512417,1770745029.687763,1770745074.752837,2,144,72.0,0.0,72,72,45.06507396697998,0.04438026666649737,3.1953791999878107
108.156.46.60,192.168.68.114,6,29512418,1770745088.129779,1770745088.157651,3,255,85.0,22.516660498395403,72,111,0.02787184715270996,107.635492673413,9149.016877240105
108.156.46.66,192.168.68.114,6,29512424,1770745468.654455,1770745489.487928,26,9578,368.38461538461536,512.2169912779603,72,1500,20.833472967147827,1.2479916354320395,459.740918621849
108.156.46.66,192.168.68.114,6,29512425,1770745502.120713,1770745544.974415,25,4249,169.96,172.8837470672128,72,508,42.85370206832886,0.5833801700524799,99.15129370211949
108.156.46.66,192.168.68.114,6,29512426,1770745591.002289,1770745591.002289,1,72,72.0,0.0,72,72,0.0,1.0,72.0
108.156.46.66,192.168.68.114,6,29512427,1770745636.033196,1770745675.867505,13,1946,149.69230769230768,159.41161846792755,72,507,39.834309101104736,0.3263518382358354,48.852359785148906
108.156.46.66,192.168.68.114,6,29512428,1770745689.64749,1770745709.454427,12,1876,156.33333333333334,165.09244425931536,72,508,19.806936979293823,0.6058483455844184,94.71429135969741
127.0.0.1,224.0.0.251,17,29512427,1770745641.748939,1770745641.748939,1,93,93.0,0.0,93,93,0.0,1.0,93.0
13.33.153.125,192.168.68.114,6,29512414,1770744848.144861,1770744893.162832,31,19355,624.3548387096774,659.1483165614598,72,1500,45.01797103881836,0.6886138865136578,429.9394120474789
13.33.153.125,192.168.68.114,6,29512415,1770744939.615132,1770744939.615132,1,72,72.0,0.0,72,72,0.0,1.0,72.0
13.33.153.125,192.168.68.114,6,29512416,1770744984.639665,1770744984.639665,1,72,72.0,0.0,72,72,0.0,1.0,72.0
13.33.153.125,192.168.68.114,6,29512417,1770745029.674656,1770745074.752794,2,144,72.0,0.0,72,72,45.07813811302185,0.044367404771366414,3.194453143538382
13.33.153.125,192.168.68.114,6,29512418,1770745119.783534,1770745133.001569,4,327,81.75,19.5,72,111,13.218034982681274,0.30261684170460573,24.73892680935152
